energy,LET,yF,yD,ystar,zF,zD,zstar
0.1,81.45,0.5276903102840366,191.044945873522,186.00759280549045,0.07175637500162534,25.978670654169807,25.293681393005052
0.10042698167614349,81.40047012556735,0.5167733534594671,190.0579683515589,185.0554732476196,0.07027186556017148,25.844459493184043,25.164210287113065
0.10085578648580461,81.35072876764667,0.5102187815466648,189.7754032844441,184.81833088275602,0.06938056187127677,25.806035734924514,25.131963197996033
0.10128642221342939,81.3007750232422,0.5040487546589419,189.37673504638846,184.46389671992335,0.06854154937759038,25.751824037204006,25.083766537557228
0.10171889667670206,81.25060798550257,0.49355460627012476,188.63374603049266,183.74755961088746,0.06711453426581897,25.65079091719464,24.986357596703467
0.1021532177266869,81.20022674370432,0.4878378831269495,188.36867150462214,183.52379877978586,0.06633716291438871,25.61474555742386,24.955930155088026
0.10258939324797083,81.14963038323539,0.4775504694454482,187.50964938440075,182.69323295608214,0.06493825999815112,25.497934025750823,24.842988167055047
0.10302743115880644,81.09881798557845,0.4719721390910835,187.3273713048815,182.54764021301634,0.06417970757262849,25.473147490971513,24.823190177087557
0.10346733941125588,81.04778862829431,0.4621382575899662,186.2692427719563,181.52893852398304,0.06284247686180514,25.329261074395795,24.68466510094258
0.10390912599133514,80.99654138500512,0.4563036608255433,186.07995853438388,181.37670236444905,0.06204907682156972,25.303521828348558,24.663963726027344
0.104352798919159,80.94507532537756,0.450755762584765,185.66728288984814,181.0086775107407,0.061294662615210944,25.247405375712912,24.61391897648779
0.10479836624908666,80.89338951510595,0.4412182090786725,184.8591142429967,180.2295986045056,0.0599977271728814,25.13750900021037,24.5079782816102
0.105245836069868,80.8414830158953,0.43628599958755243,184.76008268607998,180.1592562809889,0.0593270355438445,25.12404249268385,24.498412992943
0.10569521650479036,80.78935488544431,0.4268436592207301,183.72852924851588,179.16665795897057,0.058043047373036526,24.983769810283786,24.363437504417554
0.106146515711826,80.73700417742818,0.4219171988572086,183.63105035149658,179.09928261507093,0.05737313752177317,24.970514436529626,24.35427567152333
0.10659974188378026,80.68442994148148,0.41308668493261896,182.47740879314267,177.98988443809975,0.056172346724062946,24.813639969317705,24.20341750706316
0.10705490324844026,80.63163122318093,0.4079922468920597,182.49870273941224,178.03369818744613,0.05547959493511282,24.816535562365377,24.2093753875985
0.10751200806872424,80.57860706402798,0.40296512593998857,182.04187964594357,177.62399131195548,0.05479599705737051,24.754415852062763,24.153662634065796
