  0.0000E+00 -1.0000E+00 -1.0000E+00  1.4924E-01  3.0000E-01  3.0000E+00  9.1737E-01  2.2103E+00  2.0506E+01
  5.7268E-02  3.0410E-01  1.7829E-01  1.3457E-01  3.0000E-01  3.0000E+00  5.8789E-01  5.1543E+00  2.0506E+01
  2.0399E-01  1.0901E-01  2.4105E-01  1.4482E-01  3.4761E-01  1.3569E+00  2.0381E-01  1.2385E+01  2.0506E+01
  6.5179E-01  4.2624E-02  7.0655E-01  1.0313E-01  3.0000E-01  9.7362E-01  1.7349E-01  2.8621E+01  2.0506E+01
  7.7502E-01  2.8698E-02  8.6334E-01  5.5081E-02  3.0000E-01  9.1614E-01  1.4756E-01  4.1832E+01  2.0506E+01
  8.2935E-01  2.2409E-02  9.0277E-01  3.2488E-02  3.0999E-01  9.7916E-01  1.2083E-01  4.3846E+01  2.0506E+01
  8.7644E-01  1.6863E-02  9.4327E-01  1.3243E-02  3.1316E-01  2.4339E+00  9.0909E-02  5.7849E+01  2.0506E+01
  9.3437E-01  1.1824E-02  9.3871E-01  3.0348E-03  6.5825E-01  3.0000E+00  4.9070E-02  4.3221E+01  2.0506E+01
  0.0000E+00 -1.0000E+00 -1.0000E+00  3.7835E-01  3.6214E-01  1.5915E+00  7.9101E-01  2.0241E+00  2.0844E+01
  2.6897E-02  3.0434E-01  2.3531E-01  7.0347E-11  3.0000E-01  2.9922E+00  7.8258E-01  3.0182E+00  2.0844E+01
  5.7077E-02  1.7950E-01  1.3982E-01  4.1634E-02  3.0000E-01  3.0000E+00  5.4945E-01  1.1041E+01  2.0844E+01
  4.3728E-01  5.6817E-02  3.6845E-01  4.9466E-02  3.1679E-01  1.4575E+00  5.9391E-02  8.2619E+00  2.0844E+01
  6.8611E-01  3.3103E-02  6.1572E-01  1.6934E-02  4.6931E-01  1.8435E+00  8.7553E-02  2.3952E+01  2.0844E+01
  7.3548E-01  2.4439E-02  7.3277E-01  1.8898E-02  3.7716E-01  1.3102E+00  1.2213E-01  4.9065E+01  2.0844E+01
  7.8975E-01  1.8235E-02  8.3747E-01  1.1292E-02  4.0484E-01  1.3285E+00  1.3927E-01  8.4861E+01  2.0844E+01
  8.4485E-01  1.2638E-02  9.2589E-01  8.6057E-03  3.1884E-01  9.5387E-01  1.2717E-01  1.2775E+02  2.0844E+01
  0.0000E+00 -1.0000E+00 -1.0000E+00  3.2883E-01  5.4316E-01  2.5800E+00  6.8000E-01  1.9866E+00  2.1939E+01
  0.0000E+00 -1.0000E+00 -1.0000E+00  4.4887E-01  5.5590E-01  6.9647E-01  3.2960E-01  4.0788E+00  2.1939E+01
  1.4739E-02  3.2934E-01  5.9573E-02  8.7439E-03  1.1991E+00  6.9725E-01  6.6210E-01  9.3633E+00  2.1939E+01
  8.4845E-02  6.9689E-02  1.3103E-01  2.5054E-02  3.0000E-01  3.0000E+00  1.5117E-01  1.5978E+01  2.1939E+01
  4.8927E-01  4.1023E-02  4.1134E-01  3.0468E-02  3.2632E-01  5.0000E-01  5.9470E-02  4.6587E+01  2.1939E+01
  6.3204E-01  2.9462E-02  5.4359E-01  2.0358E-02  3.6946E-01  5.0000E-01  6.6254E-02  5.5092E+01  2.1939E+01
  7.4717E-01  2.0456E-02  6.9965E-01  1.4322E-02  3.1117E-01  1.2202E+00  9.3866E-02  5.1797E+01  2.1939E+01
  7.8726E-01  1.3141E-02  8.3992E-01  2.8124E-03  6.4881E-01  2.8474E+00  1.4922E-01  1.2948E+02  2.1939E+01
  0.0000E+00 -1.0000E+00 -1.0000E+00  4.1259E-01  5.8036E-01  3.0000E+00  5.7775E-01  1.9698E+00  2.1875E+01
  0.0000E+00 -1.0000E+00 -1.0000E+00  1.0284E+00  4.0553E-01  6.2097E-01  5.7618E-02  4.4791E+00  2.1875E+01
  1.8869E-02  5.2332E-01  5.5138E-02  6.6694E-02  1.0723E+00  6.8884E-01  3.1937E-01  8.2046E+00  2.1875E+01
  3.4607E-02  1.1432E-01  7.6596E-02  6.1306E-03  9.3114E-01  7.1786E-01  2.7677E-01  2.2998E+01  2.1875E+01
  9.2370E-02  5.4569E-02  1.2480E-01  3.5330E-02  3.0000E-01  7.8009E-01  9.8537E-02  4.3676E+01  2.1875E+01
  3.4154E-01  3.8570E-02  2.9880E-01  2.8603E-02  3.0000E-01  5.1229E-01  7.7074E-02  5.9867E+01  2.1875E+01
  6.3069E-01  2.5735E-02  5.0131E-01  5.7832E-03  7.3724E-01  5.0000E-01  4.2341E-03  4.7372E+01  2.1875E+01
  7.6452E-01  1.5054E-02  6.7502E-01  6.0209E-03  3.0000E-01  1.6251E+00  6.7634E-02  5.5535E+01  2.1875E+01
  0.0000E+00 -1.0000E+00 -1.0000E+00  4.5829E-01  5.6717E-01  3.0000E+00  5.3915E-01  1.9608E+00  2.1810E+01
  0.0000E+00 -1.0000E+00 -1.0000E+00  4.5463E-01  5.4612E-01  6.7726E-01  3.0941E-01  1.5000E+00  2.1810E+01
