E_i_MeV_per_u,z_d_D_mean_Gy,z_d_D_star_mean_Gy,z_n_D_mean_Gy
0.200000,257.427,4.478,0.3089
0.300000,433.497,4.468,0.5202
0.500000,679.715,4.456,0.8157
0.700000,826.575,4.465,0.9919
1.000000,902.120,4.529,1.0825
1.500000,871.426,4.788,1.0457
2.000000,833.526,5.224,1.0002
3.000000,770.051,6.499,0.9241
5.000000,650.677,9.810,0.7808
7.000000,552.115,13.180,0.6625
10.000000,440.961,17.405,0.5292
15.000000,320.800,21.851,0.3850
20.000000,246.801,23.828,0.2962
30.000000,163.489,23.847,0.1962
50.000000,92.388,19.154,0.1109
70.000000,62.098,14.389,0.0745
100.000000,40.268,9.360,0.0483
200.000000,16.991,2.786,0.0204
500.000000,5.322,0.270,0.0064
1000.000000,2.198,0.029,0.0026
