E_i_MeV_per_u,z_d_D_mean_Gy,z_d_D_star_mean_Gy,z_n_D_mean_Gy
0.200000,266.538,6.434,0.3198
0.300000,392.202,6.409,0.4706
0.500000,534.286,6.412,0.6411
0.700000,571.828,6.514,0.6862
1.000000,545.859,6.873,0.6550
1.500000,495.739,7.937,0.5949
2.000000,454.264,9.388,0.5451
3.000000,381.802,12.710,0.4582
5.000000,278.276,18.607,0.3339
7.000000,213.091,22.370,0.2557
10.000000,153.535,24.737,0.1842
15.000000,101.071,24.052,0.1213
20.000000,73.464,21.309,0.0882
30.000000,45.820,15.445,0.0550
50.000000,24.664,7.931,0.0296
70.000000,16.249,4.353,0.0195
100.000000,10.388,2.010,0.0125
200.000000,4.319,0.309,0.0052
500.000000,1.343,0.017,0.0016
1000.000000,0.554,0.002,0.0007
