E_i_MeV_per_u,z_d_D_mean_Gy,z_d_D_star_mean_Gy,z_n_D_mean_Gy
0.200000,270.294,5.753,0.3244
0.300000,416.768,5.734,0.5001
0.500000,596.537,5.728,0.7158
0.700000,671.989,5.784,0.8064
1.000000,667.579,6.008,0.8011
1.500000,617.792,6.725,0.7414
2.000000,577.623,7.770,0.6931
3.000000,504.526,10.359,0.6054
5.000000,388.429,15.606,0.4661
7.000000,308.119,19.625,0.3697
10.000000,229.479,23.133,0.2754
15.000000,155.665,24.558,0.1868
20.000000,114.986,23.341,0.1380
30.000000,72.904,18.852,0.0875
50.000000,39.744,11.236,0.0477
70.000000,26.318,6.839,0.0316
100.000000,16.886,3.529,0.0203
200.000000,7.046,0.665,0.0085
500.000000,2.195,0.039,0.0026
1000.000000,0.905,0.004,0.0011
