E_i_MeV_per_u,z_d_D_mean_Gy,z_d_D_star_mean_Gy,z_n_D_mean_Gy
0.200000,82.440,32.139,0.0989
0.300000,93.564,31.632,0.1123
0.500000,82.622,29.550,0.0991
0.700000,69.017,26.706,0.0828
1.000000,54.953,22.361,0.0659
1.500000,39.895,16.452,0.0479
2.000000,30.603,12.300,0.0367
3.000000,20.184,7.373,0.0242
5.000000,11.356,3.331,0.0136
7.000000,7.617,1.842,0.0091
10.000000,4.932,0.948,0.0059
15.000000,2.981,0.434,0.0036
20.000000,2.078,0.247,0.0025
30.000000,1.245,0.111,0.0015
50.000000,0.650,0.039,0.0008
70.000000,0.423,0.020,0.0005
100.000000,0.269,0.009,0.0003
200.000000,0.111,0.002,0.0001
500.000000,0.034,0.000,0.0000
1000.000000,0.014,0.000,0.0000
