E_i_MeV_per_u,z_d_D_mean_Gy,z_d_D_star_mean_Gy,z_n_D_mean_Gy
0.200000,139.015,17.565,0.1668
0.300000,169.757,18.259,0.2037
0.500000,168.465,20.707,0.2022
0.700000,147.223,23.312,0.1767
1.000000,122.975,26.187,0.1476
1.500000,94.753,27.885,0.1137
2.000000,75.496,27.074,0.0906
3.000000,52.008,22.726,0.0624
5.000000,30.393,14.176,0.0365
7.000000,20.724,8.850,0.0249
10.000000,13.580,4.692,0.0163
15.000000,8.281,1.965,0.0099
20.000000,5.794,0.987,0.0070
30.000000,3.484,0.358,0.0042
50.000000,1.825,0.104,0.0022
70.000000,1.190,0.049,0.0014
100.000000,0.755,0.023,0.0009
200.000000,0.312,0.005,0.0004
500.000000,0.097,0.001,0.0001
1000.000000,0.040,0.000,0.0000
