E_i_MeV_per_u,z_d_D_mean_Gy,z_d_D_star_mean_Gy,z_n_D_mean_Gy
0.200000,25.875,26.905,0.0311
0.300000,26.471,22.806,0.0318
0.500000,20.788,16.783,0.0249
0.700000,16.609,12.786,0.0199
1.000000,12.559,8.985,0.0151
1.500000,8.630,5.563,0.0104
2.000000,6.413,3.776,0.0077
3.000000,4.089,2.062,0.0049
5.000000,2.238,0.884,0.0027
7.000000,1.484,0.485,0.0018
10.000000,0.953,0.249,0.0011
15.000000,0.573,0.113,0.0007
20.000000,0.398,0.064,0.0005
30.000000,0.238,0.028,0.0003
50.000000,0.124,0.010,0.0001
70.000000,0.081,0.005,0.0001
100.000000,0.051,0.002,0.0001
200.000000,0.021,0.001,0.0000
500.000000,0.007,0.000,0.0000
1000.000000,0.003,0.000,0.0000
