E_i_MeV_per_u,z_d_D_mean_Gy,z_d_D_star_mean_Gy,z_n_D_mean_Gy
0.200000,186.574,12.636,0.2239
0.300000,240.014,12.673,0.2880
0.500000,263.215,13.412,0.3159
0.700000,240.547,14.814,0.2887
1.000000,208.780,17.442,0.2505
1.500000,169.819,21.588,0.2038
2.000000,140.651,24.501,0.1688
3.000000,101.679,26.737,0.1220
5.000000,62.204,23.988,0.0746
7.000000,43.318,19.073,0.0520
10.000000,28.837,12.909,0.0346
15.000000,17.794,6.866,0.0214
20.000000,12.521,3.899,0.0150
30.000000,7.568,1.511,0.0091
50.000000,3.980,0.383,0.0048
70.000000,2.598,0.150,0.0031
100.000000,1.650,0.058,0.0020
200.000000,0.682,0.012,0.0008
500.000000,0.211,0.002,0.0003
1000.000000,0.087,0.000,0.0001
