E_i_MeV_per_u,z_d_D_mean_Gy,z_d_D_star_mean_Gy,z_n_D_mean_Gy
0.200000,269.235,4.968,0.3231
0.300000,433.182,4.954,0.5198
0.500000,647.286,4.944,0.7767
0.700000,759.445,4.970,0.9113
1.000000,788.293,5.094,0.9460
1.500000,743.919,5.535,0.8927
2.000000,706.182,6.226,0.8474
3.000000,637.830,8.092,0.7654
5.000000,517.683,12.407,0.6212
7.000000,426.161,16.277,0.5114
10.000000,329.468,20.458,0.3954
15.000000,231.731,23.767,0.2781
20.000000,174.717,24.285,0.2097
30.000000,113.196,21.930,0.1358
50.000000,62.791,15.244,0.0753
70.000000,41.877,10.334,0.0503
100.000000,27.004,5.999,0.0324
200.000000,11.327,1.420,0.0136
500.000000,3.537,0.104,0.0042
1000.000000,1.460,0.010,0.0018
