E_i_MeV_per_u,z_d_D_mean_Gy,z_d_D_star_mean_Gy,z_n_D_mean_Gy
0.200000,230.461,9.322,0.2766
0.300000,309.149,9.290,0.3710
0.500000,367.692,9.477,0.4412
0.700000,351.943,10.012,0.4223
1.000000,315.472,11.318,0.3786
1.500000,269.026,14.160,0.3228
2.000000,231.473,17.080,0.2778
3.000000,176.239,21.750,0.2115
5.000000,113.834,25.709,0.1366
7.000000,81.430,25.328,0.0977
10.000000,55.359,21.927,0.0664
15.000000,34.721,15.654,0.0417
20.000000,24.625,10.973,0.0296
30.000000,14.996,5.634,0.0180
50.000000,7.928,1.860,0.0095
70.000000,5.187,0.773,0.0062
100.000000,3.300,0.276,0.0040
200.000000,1.365,0.035,0.0016
500.000000,0.423,0.003,0.0005
1000.000000,0.174,0.001,0.0002
