y_keV_per_um,f_y,yf_y,d_y,yd_y
0.104875,1.22833,0.128821,0.165148,0.0173199
0.1151,1.27597,0.146864,0.188278,0.0216708
0.126322,1.31887,0.166602,0.213583,0.0269802
0.138638,1.36017,0.188572,0.241747,0.0335155
0.152156,1.39469,0.21221,0.272051,0.041394
0.166991,1.44105,0.240641,0.308499,0.0515165
0.183272,1.47596,0.270501,0.34678,0.063555
0.201141,1.50775,0.30327,0.388789,0.0782014
0.220752,1.52334,0.33628,0.431108,0.0951677
0.242275,1.53705,0.372388,0.477397,0.115661
0.265896,1.53609,0.40844,0.523616,0.139228
0.291821,1.5158,0.442341,0.567077,0.165485
0.320273,1.52953,0.489866,0.628003,0.201132
0.351499,1.41897,0.498766,0.639413,0.224753
0.38577,1.33547,0.515186,0.660463,0.254787
0.423382,1.23546,0.523072,0.670574,0.283909
0.464661,1.11496,0.51808,0.664173,0.308615
0.509965,0.987042,0.503357,0.645299,0.32908
0.559686,0.852394,0.477073,0.611603,0.342305
0.614255,0.718302,0.441221,0.565641,0.347447
0.674144,0.592133,0.399183,0.511749,0.344992
0.739872,0.48348,0.357713,0.458584,0.339294
0.812009,0.382559,0.310641,0.398239,0.323374
0.891178,0.304185,0.271083,0.347526,0.309708
0.978067,0.243685,0.238341,0.30555,0.298849
1.07343,0.199068,0.213685,0.273942,0.294057
1.17809,0.171095,0.201564,0.258404,0.304422
1.29295,0.139349,0.180171,0.230978,0.298642
1.41901,0.116882,0.165857,0.212627,0.301719
1.55736,0.0970567,0.151152,0.193776,0.301778
1.7092,0.0792541,0.135461,0.17366,0.296819
1.87585,0.0645751,0.121133,0.155291,0.291302
2.05874,0.0522919,0.107655,0.138013,0.284133
2.25946,0.0424141,0.0958331,0.122857,0.277591
2.47976,0.034243,0.0849143,0.108859,0.269945
2.72153,0.0277147,0.0754264,0.0966959,0.263161
2.98688,0.0224503,0.0670563,0.0859656,0.256768
3.27809,0.0182358,0.0597786,0.0766356,0.251219
3.5977,0.0146308,0.0526373,0.0674805,0.242775
3.94847,0.01229,0.0485267,0.0622107,0.245637
4.33345,0.00946311,0.0410079,0.0525717,0.227816
4.75595,0.00755749,0.0359431,0.0460787,0.219148
5.21965,0.00605483,0.0316041,0.0405161,0.21148
5.72856,0.00478292,0.0273992,0.0351256,0.201219
6.28709,0.00368371,0.0231598,0.0296906,0.186667
6.90007,0.0028201,0.0194589,0.0249461,0.17213
7.57282,0.00205692,0.0155767,0.0199691,0.151222
8.31116,0.00142046,0.0118056,0.0151347,0.125787
9.12149,0.000905894,0.0082631,0.0105932,0.0966258
10.0108,0.000518071,0.00518632,0.00664881,0.06656
10.9869,0.000272522,0.00299416,0.00383848,0.0421729
12.0581,0.000139754,0.00168516,0.00216036,0.0260498
13.2337,7.51169e-05,0.000994075,0.00127439,0.016865
14.524,4.1259e-05,0.000599245,0.000768226,0.0111577
15.9401,2.38453e-05,0.000380096,0.00048728,0.00776727
17.4942,1.57742e-05,0.000275956,0.000353773,0.00618898
19.1999,1.1041e-05,0.000211985,0.000271762,0.0052178
21.0718,8.13199e-06,0.000171356,0.000219677,0.00462898
23.1263,5.99271e-06,0.000138589,0.00017767,0.00410885
25.3811,4.44149e-06,0.00011273,0.000144518,0.00366804
27.8557,3.27337e-06,9.1182e-05,0.000116894,0.00325618
30.5716,2.40057e-06,7.33893e-05,9.40843e-05,0.00287631
33.5523,1.757e-06,5.89513e-05,7.5575e-05,0.00253572
36.8236,1.28084e-06,4.71652e-05,6.04653e-05,0.00222655
40.4139,9.37809e-07,3.79005e-05,4.8588e-05,0.00196363
44.3542,6.89633e-07,3.05881e-05,3.92136e-05,0.00173929
48.6786,5.27789e-07,2.56921e-05,3.2937e-05,0.00160333
53.4247,3.8004e-07,2.03035e-05,2.60289e-05,0.00139059
58.6336,2.84517e-07,1.66823e-05,2.13865e-05,0.00125397
64.3503,2.07823e-07,1.33735e-05,1.71447e-05,0.00110326
70.6244,1.53122e-07,1.08141e-05,1.38636e-05,0.00097911
77.5102,1.15345e-07,8.94043e-06,1.14615e-05,0.000888386
85.0673,8.63114e-08,7.34228e-06,9.41273e-06,0.000800715
93.3613,6.33913e-08,5.9183e-06,7.5872e-06,0.00070835
102.464,4.37617e-08,4.484e-06,5.74844e-06,0.000589007
112.454,2.49351e-08,2.80405e-06,3.59476e-06,0.000404245
123.418,3.87904e-09,4.78743e-07,6.13744e-07,7.57471e-05
135.451,1.12614e-10,1.52536e-08,1.9555e-08,2.64875e-06
148.658,4.26806e-11,6.3448e-09,8.13397e-09,1.20918e-06
163.151,1.99905e-11,3.26148e-09,4.18118e-09,6.82165e-07
179.059,5.92165e-12,1.06032e-09,1.35932e-09,2.43398e-07
196.516,3.62235e-12,7.11851e-10,9.12586e-10,1.79338e-07
215.677,2.61011e-12,5.6294e-10,7.21683e-10,1.5565e-07
236.705,3.1373e-13,7.42615e-11,9.52025e-11,2.25349e-08
259.783,2.26046e-13,5.8723e-11,7.52823e-11,1.95571e-08
285.112,0,0,0,0
312.91,0,0,0,0
343.418,0,0,0,0
376.901,0,0,0,0
413.648,0,0,0,0
453.979,0,0,0,0
498.241,0,0,0,0
546.819,0,0,0,0
600.133,0,0,0,0
658.645,0,0,0,0
722.862,0,0,0,0
793.34,0,0,0,0
870.69,0,0,0,0
955.581,0,0,0,0
