y_keV_per_um,f_y,yf_y,d_y,yd_y
0.104875,1.59066,0.16682,0.245589,0.0257562
0.1151,1.63613,0.188318,0.277238,0.0319101
0.126322,1.68756,0.213177,0.313834,0.0396442
0.138638,1.73166,0.240074,0.353432,0.0489993
0.152156,1.77647,0.270299,0.397929,0.0605471
0.166991,1.81581,0.303224,0.446399,0.0745444
0.183272,1.84376,0.337909,0.497462,0.0911708
0.201141,1.85656,0.37343,0.549755,0.110578
0.220752,1.8605,0.410708,0.604636,0.133474
0.242275,1.84469,0.446921,0.657948,0.159404
0.265896,1.80878,0.480948,0.708042,0.188266
0.291821,1.74933,0.510492,0.751535,0.219314
0.320273,1.7235,0.551991,0.81263,0.260263
0.351499,1.55079,0.545102,0.802487,0.282074
0.38577,1.41381,0.545405,0.802933,0.309747
0.423382,1.25961,0.533298,0.78511,0.332401
0.464661,1.09602,0.50928,0.74975,0.34838
0.509965,0.928905,0.473709,0.697384,0.355641
0.559686,0.766168,0.428813,0.631289,0.353324
0.614255,0.617381,0.379229,0.558292,0.342934
0.674144,0.487058,0.328347,0.483386,0.325872
0.739872,0.381819,0.282497,0.415887,0.307703
0.812009,0.29158,0.236765,0.34856,0.283034
0.891178,0.227011,0.202307,0.297832,0.265421
0.978067,0.182929,0.178917,0.263397,0.25762
1.07343,0.153183,0.164431,0.242072,0.259847
1.17809,0.136356,0.160639,0.23649,0.278605
1.29295,0.113976,0.147365,0.216947,0.280502
1.41901,0.0969538,0.137578,0.20254,0.287405
1.55736,0.0809312,0.126039,0.185552,0.288971
1.7092,0.0660795,0.112943,0.166272,0.284193
1.87585,0.0537067,0.100746,0.148315,0.278217
2.05874,0.0433199,0.0891844,0.131295,0.270303
2.25946,0.0348184,0.078671,0.115818,0.261686
2.47976,0.0280708,0.0696088,0.102477,0.254117
2.72153,0.0225793,0.0614502,0.0904657,0.246205
2.98688,0.0181818,0.0543069,0.0799494,0.238799
3.27809,0.0146236,0.0479375,0.0705725,0.231343
3.5977,0.0117689,0.042341,0.0623335,0.224258
3.94847,0.00978972,0.0386545,0.0569062,0.224693
4.33345,0.00755425,0.0327359,0.0481931,0.208842
4.75595,0.00602521,0.0286556,0.0421861,0.200635
5.21965,0.00476671,0.0248806,0.0366286,0.191189
5.72856,0.00375288,0.0214986,0.0316497,0.181307
6.28709,0.00288771,0.0181553,0.0267278,0.16804
6.90007,0.00219509,0.0151463,0.022298,0.153858
7.57282,0.00160704,0.0121698,0.0179161,0.135675
8.31116,0.00110109,0.00915134,0.0134724,0.111971
9.12149,0.000691043,0.00630334,0.00927964,0.0846441
10.0108,0.000394796,0.00395223,0.00581838,0.0582468
10.9869,0.00021247,0.00233438,0.00343662,0.0377577
12.0581,0.000108161,0.00130421,0.00192003,0.0231519
13.2337,5.66653e-05,0.000749893,0.00110398,0.0146097
14.524,3.22522e-05,0.00046843,0.000689613,0.0100159
15.9401,1.92787e-05,0.000307304,0.000452406,0.00721138
17.4942,1.26666e-05,0.000221591,0.000326222,0.00570699
19.1999,8.98423e-06,0.000172496,0.000253945,0.0048757
21.0718,6.51232e-06,0.000137227,0.000202022,0.00425697
23.1263,4.79129e-06,0.000110805,0.000163124,0.00377246
25.3811,3.54246e-06,8.99115e-05,0.000132366,0.00335958
27.8557,2.60845e-06,7.26602e-05,0.000106969,0.00297969
30.5716,1.91237e-06,5.84642e-05,8.60696e-05,0.00263129
33.5523,1.40171e-06,4.70305e-05,6.92373e-05,0.00232307
36.8236,1.02445e-06,3.77239e-05,5.55363e-05,0.00204505
40.4139,7.52352e-07,3.04055e-05,4.47623e-05,0.00180902
44.3542,5.53987e-07,2.45716e-05,3.61738e-05,0.00160446
48.6786,4.25439e-07,2.07098e-05,3.04885e-05,0.00148414
53.4247,3.06386e-07,1.63686e-05,2.40975e-05,0.0012874
58.6336,2.29729e-07,1.34698e-05,1.983e-05,0.0011627
64.3503,1.6804e-07,1.08134e-05,1.59193e-05,0.00102441
70.6244,1.24067e-07,8.76214e-06,1.28994e-05,0.000911014
77.5102,9.34798e-08,7.24564e-06,1.06669e-05,0.00082679
85.0673,6.99966e-08,5.95442e-06,8.76597e-06,0.000745697
93.3613,5.15181e-08,4.80979e-06,7.08087e-06,0.000661079
102.464,3.55151e-08,3.63901e-06,5.35727e-06,0.000548927
112.454,2.02114e-08,2.27285e-06,3.34604e-06,0.000376275
123.418,3.16249e-09,3.90309e-07,5.74604e-07,7.09166e-05
135.451,9.1804e-11,1.2435e-08,1.83065e-08,2.47963e-06
148.658,3.70362e-11,5.50571e-09,8.10539e-09,1.20493e-06
163.151,1.83521e-11,2.99417e-09,4.40795e-09,7.19163e-07
179.059,4.65117e-12,8.32832e-10,1.22608e-09,2.19539e-07
196.516,2.71227e-12,5.33005e-10,7.84679e-10,1.54202e-07
215.677,1.81078e-12,3.90543e-10,5.74948e-10,1.24003e-07
236.705,2.20711e-13,5.22434e-11,7.69116e-11,1.82053e-08
259.783,1.39918e-13,3.63483e-11,5.35111e-11,1.39013e-08
285.112,0,0,0,0
312.91,0,0,0,0
343.418,0,0,0,0
376.901,0,0,0,0
413.648,0,0,0,0
453.979,0,0,0,0
498.241,0,0,0,0
546.819,0,0,0,0
600.133,0,0,0,0
658.645,0,0,0,0
722.862,0,0,0,0
793.34,0,0,0,0
870.69,0,0,0,0
955.581,0,0,0,0
