count,y,ymin,ymax,BinWidth,fy_bw,fy_bw_norm,yfy,yfy_norm,ydy,ydy_norm
1530,0.104874938274653,0.1,0.109749876549306,0.00974987654930562,156925.063846984,0.15822699996289,0.0165940468544915,0.0151733568844225,0.00159130486667309,0.000447066208263766
1830,0.115100115287592,0.109749876549306,0.120450354025878,0.0107004774765726,171020.405772225,0.172439284550243,0.0198477815318429,0.018148524900976,0.00208889730840207,0.000586861398263763
2168,0.126322234436241,0.120450354025878,0.132194114846603,0.0117437608207247,184608.66438748,0.186140278787264,0.0235136559349919,0.0215005475329595,0.00271599720596605,0.000763040821376227
2526,0.138638496348098,0.132194114846603,0.145082877849594,0.0128887630029911,195984.672804814,0.197610668789351,0.0273964459832978,0.0250509146993799,0.00347302114606651,0.000975721514783004
2874,0.152155578591852,0.145082877849594,0.159228279334109,0.0141454014845152,203175.569328741,0.204861224921888,0.0311707782090254,0.028502109598582,0.00433675497706061,0.00121838162150346
3488,0.166990559667439,0.159228279334109,0.174752840000768,0.0155245606666592,224676.245266695,0.226540282221199,0.0378300885153375,0.0345912868057946,0.00577641834331653,0.00162284518835844
4077,0.183271933084009,0.174752840000768,0.191791026167249,0.0170381861664805,239286.034332736,0.241271282084066,0.0442182542652039,0.0404325333449612,0.00741014854561467,0.00208183050422341
4885,0.201140720309225,0.191791026167249,0.210490414451202,0.0186993882839532,261238.492180626,0.263405869523013,0.0529816463295367,0.0484456525362118,0.00974439344698409,0.00273762062908868
5748,0.220751692229759,0.210490414451202,0.231012970008316,0.0205225555571139,280082.077692684,0.282405791721703,0.0623415564180508,0.0570042191971641,0.0125837778520101,0.00353532623933553
6786,0.242274709702664,0.231012970008316,0.253536449397011,0.0225234793886952,301285.599924049,0.303785229964829,0.0735994784016859,0.0672983005344387,0.0163046762254637,0.00458068716419248
8182,0.265896194808862,0.253536449397011,0.278255940220712,0.0247194908237012,330993.872744136,0.333739978856854,0.0887401904336275,0.0811427490381343,0.0215755482055703,0.00606150256276317
9535,0.291820745552027,0.278255940220712,0.305385550883342,0.0271296106626291,351460.996568388,0.354376909129115,0.103414533828481,0.0945607567927899,0.0275947905472359,0.00775256749109153
11207,0.320272907988613,0.305385550883342,0.335160265093884,0.0297747142105427,376393.201316834,0.379515965077844,0.121548681763586,0.111142359871715,0.035595886796831,0.010000420707137
13058,0.351499121138374,0.335160265093884,0.367837977182863,0.0326777120889792,399599.57920077,0.402914875758937,0.141624224722843,0.129499146533849,0.0455188361948175,0.0127882054082708
15571,0.385769851521259,0.367837977182863,0.403701725859655,0.035863748676792,434171.010407404,0.437773130458027,0.16887967553679,0.154421137285846,0.0595710192025047,0.0167360700234338
18550,0.423381935809022,0.403701725859655,0.443062145758388,0.0393604198987326,471285.622656614,0.475195665819903,0.201189260882887,0.183964555690221,0.0778872697083723,0.0218818952105252
22073,0.464661151882462,0.443062145758388,0.486260158006536,0.0431980122481474,510972.58534035,0.515211893241736,0.239398951777249,0.21890294543128,0.101715694774562,0.0285763281041482
26159,0.509965040563583,0.486260158006536,0.533669923120631,0.0474097651140955,551763.965441428,0.556341700931558,0.283714818082775,0.259424733816739,0.13229754490405,0.0371680895355481
31158,0.559686002463149,0.533669923120631,0.585702081805667,0.0520321586850358,598821.974475584,0.603790128933865,0.337932883589704,0.30900095019924,0.172943506574327,0.0485872942057104
36554,0.614254696767049,0.585702081805667,0.642807311728432,0.0571052299227655,640116.501578561,0.645427258008169,0.396456724652996,0.362514305590315,0.222676114854096,0.0625593300338841
43750,0.674143771400148,0.642807311728432,0.705480231071864,0.0626729193434322,698068.646846667,0.70386020595412,0.474502973780396,0.43387866908071,0.292496602304147,0.0821749179938965
52044,0.739871956876496,0.705480231071864,0.774263682681127,0.0687834516092628,756635.481098646,0.762912942679787,0.5644578918269,0.51613214751169,0.381871701986342,0.107284240390209
61421,0.812008559294886,0.774263682681127,0.849753435908644,0.0754897532275173,813633.604217572,0.820383953387274,0.666158792058643,0.609125982482429,0.494615511464639,0.13895884182221
72053,0.891178391395932,0.849753435908644,0.93260334688322,0.0828499109745754,869681.079344929,0.876896429007763,0.781471149023975,0.714565936989085,0.63680572227226,0.178906208118456
81843,0.978067184391123,0.93260334688322,1.02353102189903,0.0909276750158065,900088.99914985,0.907556629538484,0.887651357328202,0.811655586595943,0.793853694277219,0.223027760707282
86634,1.07342752743853,1.02353102189903,1.12332403297803,0.0997930110790013,868136.947300008,0.875339485999266,0.939613500125503,0.859169019820302,0.922255676597489,0.259101418603828
83171,1.17808538621005,1.12332403297803,1.23284673944207,0.109522706464039,759395.039487165,0.765695395873265,0.90205455616661,0.824825663682552,0.971715060555418,0.272996693929267
71132,1.29294725701094,1.23284673944207,1.35304777457981,0.120201035137741,591775.269809352,0.596684960953499,0.771482183564505,0.705432171178264,0.912086590732206,0.256244483547251
53597,1.41900801841714,1.35304777457981,1.48496826225447,0.131920487674658,406282.609659396,0.409653352291659,0.581301391673325,0.531533600610718,0.75425044132474,0.211901497913031
38671,1.55735954843755,1.48496826225447,1.62975083462064,0.144782572366179,267097.064018137,0.269313047275194,0.419417245692838,0.38350907456046,0.597261519179182,0.16779653497795
27704,1.70920018183904,1.62975083462064,1.78864952905744,0.158898694436791,174350.079452796,0.175796583023901,0.300471551671133,0.274746849101988,0.469597364444822,0.131930164690518
19892,1.87584508954885,1.78864952905744,1.96304065004027,0.174391120982836,114065.440303912,0.115011789552832,0.215744300672905,0.197273473950936,0.370054477409108,0.103964272045619
14967,2.05873767003608,1.96304065004027,2.15443469003188,0.191394039991613,78199.9272320908,0.0788487165779654,0.162328823053056,0.148431132345851,0.305580763566514,0.0858508235267614
11238,2.25946205133865,2.15443469003188,2.36448941264541,0.210054722613524,53500.344387289,0.0539442124913612,0.121884901013579,0.111449793900092,0.25181657994677,0.0707461442068723
8918,2.47975681202257,2.36448941264541,2.59502421139974,0.230534798754329,38683.9646256769,0.0390049079435759,0.0967226861753957,0.0884418279054118,0.219314225216173,0.0616148301555107
7186,2.72153003991777,2.59502421139974,2.8480358684358,0.253011657036065,28401.8534330839,0.0286374907356071,0.0779377913048215,0.0712651912231771,0.193950358714361,0.0544890255021381
5743,2.98687585906202,2.8480358684358,3.12571584968824,0.277679981252435,20682.0814885432,0.0208536713428464,0.0622873275067614,0.0569546330635546,0.170116418559267,0.0477930431820436
4734,3.27809256800158,3.12571584968824,3.43046928631492,0.304753436626683,15533.8691251547,0.0156627465953178,0.0513439332086032,0.0469481513012132,0.153900385861921,0.0432372598102247
3937,3.59770254655369,3.43046928631492,3.76493580679247,0.33446652047755,11770.9838173901,0.0118686423339833,0.0426998447491067,0.039044121603903,0.140469135722314,0.0394638420334601
3306,3.9484741034539,3.76493580679247,4.13201240011534,0.367076593322869,9006.29476282663,0.00908101590765054,0.0358561561444111,0.0327863515424189,0.129456060011977,0.0363697938078453
2908,4.33344545412196,4.13201240011534,4.53487850812859,0.402866108013246,7218.27908120876,0.00727816587048336,0.0315395348057917,0.0288392953071246,0.12497351314874,0.0351104529540078
2448,4.75595103623035,4.53487850812859,4.97702356433211,0.442145056203527,5536.64451440376,0.00558257954401292,0.0265504749671866,0.0242773710150762,0.1154619878361,0.0324382550330544
2046,5.21965039100823,4.97702356433211,5.46227721768434,0.485253653352231,4216.35156348812,0.00425133272101188,0.0221904704995357,0.0202906458728944,0.105910077664263,0.0297547112623832
1767,5.72855986043688,5.46227721768434,5.99484250318941,0.532565285505069,3317.90307797518,0.00334543021570826,0.019164497249599,0.0175237396174997,0.100385791377557,0.0282027008492405
1205,6.28708737488255,5.99484250318941,6.57933224657568,0.58448974338627,2061.62728026462,0.00207873166721155,0.0130691676206943,0.011950258199823,0.0751323174546937,0.0211079102351792
442,6.90007063248058,6.57933224657568,7.22080901838547,0.641476771809785,689.035081898593,0.000694751693612858,0.00479383575796422,0.0043834142110554,0.0302458676677014,0.00849736945888745
159,7.57281900096232,7.22080901838547,7.92482898353918,0.704019965153711,225.845867830304,0.000227719608612993,0.00172447937899618,0.00157683904877332,0.01194111671001,0.00335477499113057
72,8.31115950485851,7.92482898353918,8.69749002617784,0.772661042638657,93.1844573839496,9.39575665835576e-05,0.000780896322564311,0.000714040323972828,0.00593450302543902,0.00166725799755749
54,9.12148729639809,8.69749002617784,9.54548456661834,0.847994540440507,63.6796552628142,6.4207976494634e-05,0.000585672241923231,0.00053553024297962,0.00488483230817558,0.00137236019555833
19,10.0108210472575,9.54548456661834,10.4761575278967,0.93067296127831,20.4153346992083,2.05847114763247e-05,0.000206069862898914,0.000188427307715051,0.0018863120579519,0.000529946459042672
9,10.986863740937,10.4761575278967,11.4975699539774,1.02141242608072,8.81132808862928,8.88443168334161e-06,9.76120403205379e-05,8.92550404966026e-05,0.000980632968127988,0.000275502119010038
3,12.0580693923188,11.4975699539774,12.6185688306602,1.12099887668284,2.67618466209112,2.6983877530378e-06,3.2537346773513e-05,2.97516801655345e-05,0.00035874782397409,0.00010078774516808
0,13.2337162722995,12.6185688306602,13.8488637139387,1.23029488327852,0,0,0,0,0,0
1,14.523987271734,13.8488637139387,15.1991108295293,1.35024711559062,0.740605174011119,7.46749639401374e-07,1.08457822578375e-05,9.91722672184473e-06,0.000144037674678974,4.04663986232171e-05
0,15.940058100765,15.1991108295293,16.6810053720006,1.48189454247124,0,0,0,0,0,0
1,17.4941940874771,16.6810053720006,18.3073828029537,1.62637743095311,0.614863426513469,6.19964669627238e-07,1.08457822578375e-05,9.91722672184473e-06,0.000173493889081466,4.87419204031881e-05
1,19.1998564143021,18.3073828029537,20.0923300256505,1.78494722269678,0.560240654336632,5.64888717071789e-07,1.08457822578377e-05,9.91722672184484e-06,0.000190409329087501,5.34941974702603e-05
1,21.0718187123405,20.0923300256505,22.0513073990305,1.95897737337998,0.510470418693311,5.14705560345674e-07,1.08457822578377e-05,9.91722672184484e-06,0.000208974003611893,5.87098156846524e-05
1,23.1262950234871,22.0513073990305,24.2012826479438,2.14997524891338,0.46512163361202,4.68980536952526e-07,1.08457822578375e-05,9.91722672184473e-06,0.000229348710984192,6.44339502362302e-05
1,25.3810802387054,24.2012826479438,26.5608778294669,2.35959518152303,0.423801509610871,4.27317598614191e-07,1.08457822578377e-05,9.91722672184484e-06,0.000251709927172577,7.07161808401045e-05
0,27.8557042288593,26.5608778294669,29.1505306282518,2.58965279878492,0,0,0,0,0,0
0,30.5716010031128,29.1505306282518,31.9926713779739,2.84214074972206,0,0,0,0,0,0
0,33.5522943600626,31.9926713779739,35.1119173421513,3.1192459641775,0,0,0,0,0,0
1,36.8236016396283,35.1119173421513,38.5352859371053,3.42336859495397,0.292109941498557,2.94533445260981e-07,1.08457822578377e-05,9.91722672184483e-06,0.000365188006175091,0.000102597070268147
1,40.4138573405002,38.5352859371053,42.292428743895,3.75714280678967,0.26615969938456,2.68367905752187e-07,1.08457822578377e-05,9.91722672184485e-06,0.000400793385950034,0.000112600157962495
2,44.3541585400114,42.292428743895,46.4158883361278,4.12345959223283,0.485029610516205,4.89053681316203e-07,2.16915645156751e-05,1.98344534436895e-05,0.000879740492595877,0.000247157068716321
1,48.6786342421458,46.4158883361278,50.9413801481638,4.52549181203598,0.220970458357786,2.22803750078251e-07,1.08457822578377e-05,9.91722672184485e-06,0.00048275705228912,0.000135627288899524
0,53.424740986643,50.9413801481638,55.9081018251223,4.96672167695849,0,0,0,0,0,0
0,58.633587279627,55.9081018251223,61.3590727341318,5.45097090900947,0,0,0,0,0,0
0,64.35028965582,61.3590727341318,67.3415065775083,5.98243384337653,0,0,0,0,0,0
0,70.6243634563831,67.3415065775083,73.9072203352578,6.56571375774955,0,0,0,0,0,0
1,77.5101517071133,73.9072203352578,81.1130830789687,7.2058627437109,0.13877588785226,1.39927248482502e-07,1.08457822578377e-05,9.91722672184484e-06,0.000768685747724031,0.000215956998422213
2,85.0672958117363,81.1130830789687,89.0215085445039,7.9084254655352,0.252894840915675,2.54992994765944e-07,2.16915645156751e-05,1.98344534436895e-05,0.00168726331835844,0.000474025078335924
0,93.3612521372133,89.0215085445039,97.7009957299226,8.67948718541864,0,0,0,0,0,0
0,102.463858965478,97.7009957299226,107.226722201032,9.52572647110986,0,0,0,0,0,0
0,112.453958722266,107.226722201032,117.6811952435,10.4544730424675,0,0,0,0,0,0
0,123.418080872494,117.6811952435,129.154966501488,11.4737712579885,0,0,0,0,0,0
0,135.451191397085,129.154966501488,141.747416292681,12.5924497911922,0,0,0,0,0,0
1,148.657515342864,141.747416292681,155.567614393047,13.8201981003666,0.0723578629436197,7.29581833304756e-08,1.08457822578377e-05,9.91722672184484e-06,0.00147427028356131,0.000414186143353952
2,163.151439570058,155.567614393047,170.735264747069,15.167650354022,0.131859579652669,1.32953558809149e-07,2.16915645156751e-05,1.98344534436895e-05,0.00323601963242324,0.000909137562030575
1,179.058503516554,170.735264747069,187.381742286039,16.6464775389693,0.0600727690082786,6.05711655399542e-08,1.08457822578376e-05,9.91722672184483e-06,0.00177576377584791,0.000498888675995966
1,196.516486560452,187.381742286039,205.651230834865,18.2694885488268,0.0547360697770718,5.51901901345117e-08,1.08457822578376e-05,9.91722672184475e-06,0.00194889855180036,0.000547529706024034
1,215.676601399129,205.651230834865,225.701971963392,20.0507411285268,0.0498734681970069,5.02872457535e-08,1.08457822578377e-05,9.91722672184484e-06,0.00213891375467212,0.000600913176432158
0,236.704803781282,225.701971963392,247.707635599171,22.005663635779,0,0,0,0,0,0
0,259.783229936233,247.707635599171,271.858824273294,24.1511886741231,0,0,0,0,0,0
0,285.111774150814,271.858824273294,298.364724028334,26.5058997550398,0,0,0,0,0,0
0,312.909820158054,298.364724028334,327.454916287773,29.0901922594392,0,0,0,0,0,0
0,343.418141334118,327.454916287773,359.381366380463,31.9264500926897,0,0,0,0,0,0
1,376.900986162114,359.381366380463,394.420605943766,35.0392395633031,0.0285394321470181,2.87762108777622e-08,1.08457822578375e-05,9.91722672184472e-06,0.00373781253145655,0.00105011284175401
0,413.648367026036,394.420605943766,432.876128108306,38.4555221645401,0,0,0,0,0,0
1,453.978572159293,432.876128108306,475.08101621028,42.2048881019737,0.0236939379529651,2.38905158149889e-08,1.08457822578377e-05,9.91722672184484e-06,0.00450220842696311,0.00126486463556393
0,498.240922505124,475.08101621028,521.400828799969,46.3198125896892,0,0,0,0,0,0
1,546.818797367496,521.400828799969,572.236765935022,50.8359371350531,0.0196711235467806,1.98343259413385e-08,1.08457822578376e-05,9.91722672184483e-06,0.00542292598925998,0.00152353393148489
0,600.132955059224,572.236765935022,628.029144183426,55.7923782484039,0,0,0,0,0,0
0,658.645177309198,628.029144183426,689.26121043497,61.2320662515442,0,0,0,0,0,0
1,722.8622689948,689.26121043497,756.463327554629,67.2021171196589,0.0148804835749359,1.50039402013881e-08,1.08457822578377e-05,9.91722672184484e-06,0.00716878901028862,0.0020140221951141
0,793.340447843302,756.463327554629,830.217568131975,73.7542405773462,0,0,0,0,0,0
1,870.690162123733,830.217568131975,911.16275611549,80.9451879835144,0.012354038886211,1.2456534746394e-08,1.08457822578377e-05,9.91722672184484e-06,0.0086348317422609,0.0024258968641747
0,955.581378057745,911.16275611549,1000,88.8372438845104,0,0,0,0,0,0
